nodeid,baseline_outcome,final_outcome,failure_set_change,root_cause,affects_our_drawio_workflow,evidence,final_note
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[feeder/rotary_valve],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[filter/belt],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[filter/default],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[filter/fixed_bed],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[filter/gas],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[filter/gas_belt],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[filter/gas_fixed_bed],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[filter/ion_exchange],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[filter/press],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[filter/rotary],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[filter/rotary_scraper],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[fitting/averaging_pitot],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[fitting/bellows],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[fitting/blind],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[fitting/clamped_coupling],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[fitting/coriolis],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[fitting/coupling],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[fitting/damper],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[fitting/default],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[fitting/expansion_joint],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[fitting/flame_arrestor],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[fitting/flame_arrestor_detonation_proof],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[fitting/flame_arrestor_explosion_proof],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[fitting/flame_arrestor_fire_resistant],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[fitting/flange],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[fitting/flow_nozzle],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[fitting/hose],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[fitting/magnetic],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[fitting/mixing_path],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[fitting/orifice],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[fitting/pitot],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[fitting/positive_displacement],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[fitting/rotameter],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[fitting/rotary_mixer],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[fitting/rupture_disc],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[fitting/sight_glass],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[fitting/sight_glass_lit],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[fitting/silencer],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[fitting/spool],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[fitting/static_mixer],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[fitting/steam_trap],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[fitting/strainer],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[fitting/strainer_basket],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[fitting/strainer_cone],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[fitting/strainer_duplex],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[fitting/strainer_y],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[fitting/target],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[fitting/turbine_meter],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[fitting/ultrasonic],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[fitting/v_cone],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[fitting/venturi],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[fitting/vortex],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[fitting/wedge],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[flare/default],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[funnel/default],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[furnace/default],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[heater/default],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[hex/air_cooled],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[hex/condenser],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[hex/default],ERROR,passed,removed,svg_quadratic_fixture,yes,"All 492 errors share odd_box_sheets -> fs.to_svg -> _baked. That exception is SVG-only, but the generator discarded the fixed source aspect: native draw.io retained it while portgeom stretched its ports. Desktop 31.4.4 confirms the resulting diagonal approach. Preserving the source aspect and native connection rectangle fixes the shared cause and clears all setup errors; direct anisotropic Q baking remains SVG-only.",
